Date,Open,High,Low,Close,Adj Close,Volume,,,,,,
12/3/2019,283.519989,284.429993,282.100006,284.290009,278.951569,3236000,,,,,,
12/4/2019,285.410004,286.700012,285.070007,286.109985,280.737366,3188800,,,,,,
12/5/2019,286.829987,286.829987,285.290009,286.640015,281.257416,1597200,,,,,,
12/6/2019,288.579987,289.649994,288.549988,289.190002,283.759521,1609400,,,,,,
12/9/2019,288.869995,289.519989,288.269989,288.309998,282.896057,1478900,,,,,,
12/10/2019,288.309998,288.940002,287.350006,288.040009,282.631134,1822700,,,,,,
12/11/2019,288.450012,289.079987,288.079987,288.790009,283.367065,1835400,,,,,,
12/12/2019,288.850006,292.100006,288.609985,291.329987,285.859314,3276600,,,,,,
12/13/2019,291.089996,292.76001,290.299988,291.440002,285.967285,3519600,,,,,,
12/16/2019,293.26001,294.109985,293.220001,293.5,287.988617,3141900,,,,,,
12/17/2019,293.98999,294.190002,293.5,293.559998,288.047455,3658200,,,,,,
12/18/2019,294.019989,294.220001,293.570007,293.579987,288.067108,3294400,,,,,,
12/19/2019,293.779999,294.880005,293.75,294.799988,289.26416,2331600,,,,,,
12/20/2019,295.890015,296.76001,295.779999,296.299988,290.736023,4985600,,,,,,
12/23/2019,295.48999,295.529999,294.98999,295.160004,291.020966,2325200,,,,,,
12/24/2019,295.359985,295.399994,294.850006,295.160004,291.020966,1305900,,,,,,
12/26/2019,295.559998,296.690002,295.519989,296.670013,292.509796,2390300,,,,,,
12/27/2019,297.51001,297.51001,296.149994,296.670013,292.509796,2225400,,,,,,
12/30/2019,296.75,296.839996,294.51001,295.040009,290.902649,2345400,,,,,,
12/31/2019,294.529999,295.98999,294.170013,295.799988,291.652008,2512700,,,,,,
1/2/2020,297.290009,298.450012,296.339996,298.420013,294.235291,3142400,,,,,,
1/3/2020,295.220001,297.359985,295.040009,296.23999,292.085785,3247900,,,,,,
1/6/2020,294.420013,297.420013,294.350006,297.350006,293.180237,2777100,,,,,,
1/7/2020,296.820007,297.269989,296.059998,296.529999,292.371735,2251800,,,,,,
1/8/2020,296.709991,299.309998,296.470001,298.059998,293.88031,3719500,,,,,,
1/9/2020,299.730011,300.190002,299.089996,300.119995,295.911407,2168500,,,,,,
1/10/2020,300.73999,300.859985,298.790009,299.26001,295.063477,3666800,,,,,,
1/13/2020,299.910004,301.320007,299.480011,301.23999,297.015717,2728000,,,,,,
1/14/2020,300.890015,301.910004,300.320007,300.839996,296.621338,2620100,,,,,,
1/15/2020,300.809998,302.299988,300.690002,301.51001,297.281921,2822300,,,,,,
1/16/2020,302.940002,304.040009,302.709991,304.029999,299.766571,2582600,,,,,,
1/17/2020,304.769989,305.200012,304.200012,305.059998,300.782135,2218000,,,,,,
1/21/2020,304.079987,305.220001,304,304.429993,300.16095,2757900,,,,,,
1/22/2020,305.309998,305.920013,304.320007,304.51001,300.239868,2765300,,,,,,
1/23/2020,303.839996,304.970001,302.660004,304.809998,300.535645,2673100,,,,,,
1/24/2020,305.420013,305.519989,300.809998,302.029999,297.794647,3448200,,,,,,
1/27/2020,296.839996,298.730011,296.450012,297.230011,293.061951,4302000,,,,,,
1/28/2020,298.700012,301.220001,298.220001,300.450012,296.236786,3562500,,,,,,
1/29/2020,301.779999,301.940002,299.920013,300.149994,295.94101,2739400,,,,,,
1/30/2020,298.040009,301.290009,297.299988,301.089996,296.867798,4432700,,,,,,
1/31/2020,300.440002,300.600006,294.720001,295.690002,291.543549,6184700,,,,,,
2/3/2020,297.119995,299.670013,297.029999,297.839996,293.663361,3266700,,,,,,
2/4/2020,301.5,303.230011,301.160004,302.429993,298.189026,2292800,,,,,,
2/5/2020,305.399994,306.079987,303.869995,305.850006,301.561096,3049900,,,,,,
2/6/2020,306.799988,307.079987,305.809998,306.890015,302.586487,1925500,,,,,,
2/7/2020,305.829987,306.589996,304.73999,305.329987,301.04834,2249000,,,,,,
2/10/2020,304.390015,307.559998,304.350006,307.519989,303.207642,2246900,,,,,,
2/11/2020,308.929993,309.690002,307.609985,308.079987,303.759735,2438800,,,,,,
2/12/2020,309.559998,310.269989,309.170013,310.059998,305.712006,2115800,,,,,,
2/13/2020,308.600006,310.720001,308.359985,309.76001,305.416229,2043400,,,,,,
2/14/2020,310.109985,310.329987,309,310.279999,305.928925,1637000,,,,,,
2/18/2020,309.23999,309.820007,308.029999,309.429993,305.090851,3000300,,,,,,
2/19/2020,310.420013,311.589996,310.119995,310.920013,306.559967,2257500,,,,,,
2/20/2020,310.350006,311.190002,306.670013,309.700012,305.357056,4617300,,,,,,
2/21/2020,308.299988,308.579987,305.619995,306.48999,302.192078,2678000,,,,,,
2/24/2020,296.959991,299.380005,295.170013,296.23999,292.085785,7097000,,,,,,
2/25/2020,297.730011,298.230011,286.359985,287.339996,283.310608,8465800,,,,,,
2/26/2020,288.609985,292.279999,285.480011,286.070007,282.058441,10233700,,,,,,
2/27/2020,280.570007,284.480011,273.359985,273.390015,269.556244,14897000,,,,,,
2/28/2020,265.320007,272.920013,262.25,271.73999,267.929382,23324100,,,,,,
3/2/2020,274,284.040009,270.48999,283.869995,279.889282,12428600,,,,,,
3/3/2020,284.339996,288.320007,273.359985,276.040009,272.169067,9805900,,,,,,
3/4/2020,281.230011,287.649994,278.700012,287.480011,283.4487,5253900,,,,,,
3/5/2020,280.299988,283.410004,275.609985,277.850006,273.953705,6220000,,,,,,
3/6/2020,269.320007,274.459991,266.600006,273.190002,269.35907,6669100,,,,,,
3/9/2020,253.889999,260.98999,251.149994,252.110001,248.574661,16425900,,,,,,
3/10/2020,260.480011,263.809998,250,263.809998,261.331665,10879100,,,,,,
3/11/2020,256.660004,257.720001,247.619995,250.729996,248.374557,11480100,,,,,,
3/12/2020,234.940002,243.679993,225.809998,226.479996,224.352356,24669300,,,,,,
3/13/2020,240.660004,247.779999,228.100006,247.639999,245.313583,19533600,,,,,,
3/16/2020,222.850006,234.770004,218.139999,218.570007,216.516693,17271500,,,,,,
3/17/2020,223.75,233.949997,216.600006,232.880005,230.692245,15115500,,,,,,
3/18/2020,216.080002,224.740005,208.309998,220.149994,218.081833,20177500,,,,,,
3/19/2020,218.429993,226,212.110001,220.339996,218.27005,12441200,,,,,,
3/20/2020,222.800003,224.559998,210.050003,210.740005,208.760254,11533200,,,,,,
3/23/2020,209.630005,210.779999,200.550003,204.270004,202.351013,14128200,,,,,,
3/24/2020,216.389999,224.300003,214.830002,223.75,221.648026,13160800,,,,,,
3/25/2020,225,235.509995,220.320007,226.619995,224.491058,11876400,,,,,,
3/26/2020,229.270004,241.440002,228.850006,240.240005,237.983109,12411100,,,,,,
3/27/2020,232.699997,239.639999,230.660004,232.860001,230.67244,11170600,,,,,,
3/30/2020,234.919998,241.100006,232.970001,240.389999,238.131699,8727800,,,,,,
3/31/2020,239.449997,241.940002,235.440002,236.820007,234.595245,10386300,,,,,,
4/1/2020,227.919998,231.050003,224.130005,226.149994,224.025467,13710100,,,,,,
4/2/2020,225.330002,232.179993,224.720001,231.440002,229.265778,6547000,,,,,,
4/3/2020,230.429993,232.710007,225.339996,228.020004,225.877899,5490200,,,,,,
4/6/2020,236.960007,245.300003,235.929993,243.529999,241.242203,7624000,,,,,,
4/7/2020,251.919998,252.800003,243.460007,243.660004,241.370987,12936600,,,,,,
4/8/2020,246.240005,253.050003,244.050003,251.929993,249.563278,6958600,,,,,,
4/9/2020,255.119995,258.390015,253.139999,255.669998,253.268158,8812600,,,,,,
4/13/2020,254.639999,254.949997,249.380005,253.190002,250.811447,7666400,,,,,,
4/14/2020,258.23999,261.630005,257.209991,260.920013,258.468842,6631100,,,,,,
4/15/2020,255.080002,256.899994,253.110001,255.240005,252.842209,4888900,,,,,,
4/16/2020,256.51001,257.299988,253.399994,256.529999,254.120071,6165700,,,,,,
4/17/2020,262.309998,264,259.5,263.609985,261.133545,6738800,,,,,,
4/20/2020,259.649994,263.100006,258.579987,258.859985,256.428162,6498700,,,,,,
4/21/2020,254.25,255.490005,250,250.949997,248.592484,6526100,,,,,,
4/22/2020,255.830002,258.230011,254.479996,256.470001,254.060638,5634200,,,,,,
4/23/2020,257.75,260.899994,256.200012,256.420013,254.011124,7665400,,,,,,
4/24/2020,258,260.700012,255.940002,260.140015,257.696167,4770200,,,,,,
4/27/2020,262.01001,264.910004,261.570007,263.899994,261.420837,3892200,,,,,,
4/28/2020,267.480011,267.790009,262.299988,262.679993,260.212311,5849500,,,,,,
4/29/2020,267.980011,271,266.910004,269.450012,266.918701,6773100,,,,,,
4/30/2020,268.079987,268.579987,265.230011,267.100006,264.59079,7386600,,,,,,
5/1/2020,262.140015,262.850006,258.73999,259.820007,257.379181,4790700,,,,,,
5/4/2020,257.920013,260.899994,256.529999,260.640015,258.191467,4128900,,,,,,
5/5/2020,263.450012,265.809998,262.600006,263.040009,260.568939,4437200,,,,,,
5/6/2020,264.709991,265.109985,261.140015,261.269989,258.815521,3021400,,,,,,
5/7/2020,264.450012,266.299988,263.899994,264.359985,261.876495,3410200,,,,,,
5/8/2020,267.529999,269.140015,266.380005,268.779999,266.255005,3207000,,,,,,
5/11/2020,266.779999,270.200012,266.429993,268.820007,266.294617,3469300,,,,,,
5/12/2020,269.980011,270.399994,263.329987,263.410004,260.935455,5159900,,,,,,
5/13/2020,262.869995,263.899994,256.359985,258.73999,256.309296,5617500,,,,,,
5/14/2020,256.329987,262,253.970001,261.859985,259.399994,7737600,,,,,,
5/15/2020,259.540009,263.109985,258.559998,263.040009,260.568939,3385900,,,,,,
5/18/2020,269.320007,272.700012,269.059998,271.079987,268.533356,6769200,,,,,,
5/19/2020,270.609985,272.25,268.339996,268.519989,265.997437,4921100,,,,,,
5/20/2020,271.920013,273.790009,271.690002,272.899994,270.336273,4896200,,,,,,
5/21/2020,272.799988,273.589996,269.950012,270.940002,268.394714,3581300,,,,,,
5/22/2020,270.76001,271.720001,269.5,271.549988,268.998962,2296400,,,,,,
5/26/2020,277.529999,277.73999,274.549988,275.040009,272.456177,4911800,,,,,,
5/27/2020,277.779999,279.049988,272.859985,279.049988,276.428497,5152400,,,,,,
5/28/2020,280.029999,282.040009,277.809998,278.5,275.883698,4630600,,,,,,
5/29/2020,278.029999,280.350006,275.359985,279.75,277.121948,7051400,,,,,,
6/1/2020,279.070007,281.48999,278.570007,280.970001,278.330475,3888200,,,,,,
6/2/2020,281.790009,283.279999,280.459991,283.279999,280.618774,4343900,,,,,,
6/3/2020,285.200012,287.929993,284.929993,287.019989,284.323639,5509400,,,,,,
6/4/2020,286,287.75,284.200012,286.290009,283.600525,3818600,,,,,,
6/5/2020,291.630005,295.380005,291.609985,293.609985,290.851715,6015500,,,,,,
6/8/2020,294.429993,297.320007,293.880005,297.170013,294.378296,5559700,,,,,,
6/9/2020,294.48999,296.390015,293.630005,295.059998,292.288116,4686400,,,,,,
6/10/2020,295.529999,296.390015,292.589996,293.220001,290.465424,5602600,,,,,,
6/11/2020,286.359985,286.920013,275.799988,276.320007,273.724152,7748200,,,,,,
6/12/2020,283.350006,284.149994,274.5,279.649994,277.022858,6229800,,,,,,
6/15/2020,273.910004,283.350006,272.769989,282.200012,279.54895,4431400,,,,,,
6/16/2020,290.049988,290.200012,282.829987,287.720001,285.01709,5295000,,,,,,
6/17/2020,288.730011,289.019989,285.880005,286.399994,283.709442,2648800,,,,,,
6/18/2020,284.970001,287.119995,284.549988,286.660004,283.96701,2756300,,,,,,
6/19/2020,290.040009,290.269989,283.670013,284.970001,282.292877,3479500,,,,,,
6/22/2020,284.350006,287.190002,283.26001,286.859985,284.165131,2518000,,,,,,
6/23/2020,289.51001,290.429993,287.76001,288.160004,285.452942,2503600,,,,,,
6/24/2020,286.079987,286.700012,278.970001,280.790009,278.152191,4532300,,,,,,
6/25/2020,280.26001,284.100006,278.220001,283.76001,281.094299,3897400,,,,,,
6/26/2020,282.720001,282.920013,276.519989,277.109985,274.506714,4479000,,,,,,
6/29/2020,276.890015,279.720001,274.720001,279.700012,278.512665,3464600,,,,,,
6/30/2020,279.290009,284.950012,279.149994,283.429993,282.226807,5215700,,,,,,
7/1/2020,284.369995,286.51001,283.950012,285.369995,284.1586,3712600,,,,,,
7/2/2020,288.76001,290.049988,286.179993,286.809998,285.592468,3661100,,,,,,
7/6/2020,290.670013,291.579987,289.899994,291.26001,290.02359,3573800,,,,,,
7/7/2020,289.670013,291.679993,287.890015,288.23999,287.016388,3420300,,,,,,
7/8/2020,289,290.549988,287.290009,290.380005,289.147339,2434200,,,,,,
7/9/2020,291.019989,291.299988,285.410004,288.899994,287.673615,3164600,,,,,,
7/10/2020,288.720001,292.01001,287.339996,291.799988,290.561279,2712400,,,,,,
7/13/2020,294.100006,296.450012,288.609985,289.160004,287.932495,3657900,,,,,,
7/14/2020,287.790009,293.320007,286.630005,293.029999,291.786072,4053100,,,,,,
7/15/2020,296.190002,296.75,293.350006,295.630005,294.375031,6601400,,,,,,
7/16/2020,293.799988,295.109985,293.149994,294.769989,293.518677,3082900,,,,,,
7/17/2020,295.720001,296.350006,293.75,295.549988,294.29538,2246000,,,,,,
7/20/2020,295.329987,298.679993,294.600006,298.01001,296.744934,2539900,,,,,,
7/21/2020,299.859985,300.350006,297.660004,298.630005,297.362305,3310900,,,,,,
7/22/2020,298.220001,300.559998,298.109985,300.329987,299.055084,4121100,,,,,,
7/23/2020,299.929993,300.619995,295.380005,296.73999,295.480316,3487100,,,,,,
7/24/2020,294.859985,295.809998,293.299988,294.820007,293.568481,2851000,,,,,,
7/27/2020,295.480011,297.119995,294.73999,296.970001,295.709351,2253300,,,,,,
7/28/2020,296.179993,297.329987,294.790009,295.130005,293.877167,3135600,,,,,,
7/29/2020,296,299.26001,295.899994,298.700012,297.432007,2370800,,,,,,
7/30/2020,295.73999,298.059998,293.670013,297.609985,296.346619,2951700,,,,,,
7/31/2020,299.450012,300.100006,295.23999,300.100006,298.82608,4460300,,,,,,
8/3/2020,301.649994,302.820007,301.130005,301.98999,300.708038,3767700,,,,,,
8/4/2020,301.220001,303.26001,301.220001,303.26001,301.972656,2129200,,,,,,
8/5/2020,304.609985,305.399994,304.309998,305.149994,303.854614,2620700,,,,,,
8/6/2020,304.579987,307.290009,304.25,307.200012,305.895935,4088200,,,,,,
8/7/2020,306.230011,307.600006,305.320007,307.359985,306.055237,3317800,,,,,,
8/10/2020,307.880005,308.5,305.920013,308.339996,307.031067,2118200,,,,,,
8/11/2020,309.519989,310.119995,305.070007,305.850006,304.551666,3571200,,,,,,
8/12/2020,308.25,310.809998,308.200012,310.040009,308.723877,2953700,,,,,,
8/13/2020,309.299988,310.779999,308.559998,309.51001,308.196136,4074200,,,,,,
8/14/2020,309.149994,310.019989,308.339996,309.51001,308.196136,2097600,,,,,,
8/17/2020,310.440002,310.869995,310.089996,310.51001,309.191895,2183400,,,,,,
8/18/2020,310.929993,311.549988,309.279999,311.160004,309.839111,2415800,,,,,,
8/19/2020,311.549988,312.279999,309.309998,309.839996,308.524719,2498300,,,,,,
8/20/2020,308.109985,311.269989,308.019989,310.820007,309.500549,2409300,,,,,,
8/21/2020,310.480011,312.100006,310.170013,311.929993,310.605835,2316200,,,,,,
8/24/2020,314.359985,315.170013,313.369995,315.100006,313.76239,2349600,,,,,,
8/25/2020,315.690002,316.26001,314.5,316.200012,314.857727,2890800,,,,,,
8/26/2020,316.75,319.630005,316.25,319.429993,318.074005,2606000,,,,,,
8/27/2020,320.220001,321.5,318.470001,320.070007,318.711304,2295900,,,,,,
8/28/2020,321.140015,322.279999,319.950012,322.149994,320.78244,3538700,,,,,,
8/31/2020,321.980011,322.829987,320.799988,321.019989,319.657257,5068000,,,,,,
9/1/2020,321.809998,324.100006,320.940002,324.019989,322.644501,3010800,,,,,,
9/2/2020,325.940002,329.670013,324.779999,328.73999,327.344482,5273100,,,,,,
9/3/2020,327.01001,327.51001,314.809998,317.359985,316.012787,6892000,,,,,,
9/4/2020,317.769989,319.600006,306.899994,314.820007,313.483582,5133900,,,,,,
9/8/2020,309.350006,310.589996,305.850006,306.170013,304.8703,4278300,,,,,,
9/9/2020,310.149994,314.660004,309.290009,312.209991,310.884644,3339800,,,,,,
9/10/2020,314.049988,314.709991,305.820007,306.75,305.447845,3589000,,,,,,
9/11/2020,308.549988,309.589996,304.170013,306.980011,305.67688,3690100,,,,,,
9/14/2020,310.079987,312.75,309.609985,310.970001,309.649933,3056100,,,,,,
9/15/2020,313.470001,314.26001,311.519989,312.570007,311.243134,2570900,,,,,,
9/16/2020,313.809998,315.179993,311.040009,311.309998,309.988464,2313400,,,,,,
9/17/2020,306.480011,310.269989,305.959991,308.589996,307.280029,2848300,,,,,,
9/18/2020,309.440002,309.480011,302.549988,305,303.705261,3420800,,,,,,
9/21/2020,300.470001,301.75,296.829987,301.690002,300.409302,4536800,,,,,,
9/22/2020,303.109985,305.23999,300.670013,304.73999,303.44635,2741500,,,,,,
9/23/2020,305.279999,305.549988,297.170013,297.679993,296.416321,2755800,,,,,,
9/24/2020,296.309998,301.459991,295.040009,298.5,297.232849,3130700,,,,,,
9/25/2020,297.579987,304.040009,296.720001,303.279999,301.992554,2683800,,,,,,
9/28/2020,307.420013,309.019989,306.429993,308.359985,307.050995,2437900,,,,,,
9/29/2020,306.839996,307.51001,304.649994,305.299988,305.299988,2303900,,,,,,
9/30/2020,306.040009,310.75,305.850006,307.649994,307.649994,4295100,,,,,,
10/1/2020,310.160004,311.109985,307.76001,309.600006,309.600006,3005700,,,,,,
10/2/2020,304.720001,308.579987,304.209991,306.720001,306.720001,3125100,,,,,,
10/5/2020,308.690002,312.290009,308.690002,312.079987,312.079987,2364500,,,,,,
10/6/2020,312.25,314.320007,307.179993,307.720001,307.720001,3389800,,,,,,
10/7/2020,310.609985,313.809998,310.600006,313,313,1707800,,,,,,
10/8/2020,314.959991,315.850006,314.049988,315.769989,315.769989,1731700,,,,,,
10/9/2020,317.470001,319.100006,316.850006,318.579987,318.579987,2794100,,,,,,
10/12/2020,321.140015,325.220001,320.660004,323.720001,323.720001,2194300,,,,,,
10/13/2020,323.640015,323.730011,320.709991,321.649994,321.649994,2229700,,,,,,
10/14/2020,322.220001,323.299988,318.929993,319.640015,319.640015,1907800,,,,,,
10/15/2020,315.709991,319.700012,315.230011,319.26001,319.26001,2481700,,,,,,
10/16/2020,320.649994,322.209991,318.899994,318.98999,318.98999,1669600,,,,,,
10/19/2020,320.299988,320.890015,313.329987,314.170013,314.170013,2229600,,,,,,
10/20/2020,315.480011,318.670013,314.779999,315.410004,315.410004,3066600,,,,,,
10/21/2020,315.410004,317.519989,314.589996,314.839996,314.839996,2607700,,,,,,
10/22/2020,315.059998,317.160004,312.98999,316.570007,316.570007,2362400,,,,,,
10/23/2020,317.839996,317.839996,315.23999,317.649994,317.649994,1429300,,,,,,
10/26/2020,314.309998,315.079987,308.359985,311.799988,311.799988,3335800,,,,,,
10/27/2020,312.179993,312.470001,310.559998,310.769989,310.769989,2196100,,,,,,
10/28/2020,305.130005,305.73999,299.619995,300.070007,300.070007,5650500,,,,,,
10/29/2020,300.320007,306.25,298.690002,303.230011,303.230011,5365200,,,,,,
10/30/2020,301.559998,302.859985,296.369995,299.820007,299.820007,5892100,,,,,,
11/2/2020,303.369995,305.309998,300.630005,303.309998,303.309998,4080400,,,,,,
11/3/2020,306.570007,310.73999,306.089996,308.660004,308.660004,3378300,,,,,,
11/4/2020,313.190002,319.649994,312,315.609985,315.609985,5750200,,,,,,
11/5/2020,320.940002,323.549988,320.519989,321.790009,321.790009,3950300,,,,,,
11/6/2020,321.440002,322.920013,319.429993,321.75,321.75,3640600,,,,,,
11/9/2020,334.359985,335.200012,325.279999,325.76001,325.76001,8097300,,,,,,
11/10/2020,324.769989,326.299988,322.059998,325.339996,325.339996,4120800,,,,,,
11/11/2020,327.420013,328.5,326.170013,327.630005,327.630005,2773500,,,,,,
11/12/2020,326.73999,327.440002,322.730011,324.600006,324.600006,2532700,,,,,,
11/13/2020,326.450012,329.730011,325.890015,329.01001,329.01001,1996100,,,,,,
11/16/2020,331.649994,333.119995,330.410004,333,333,3018800,,,,,,
11/17/2020,330.730011,332.5,329.25,331.339996,331.339996,3052100,,,,,,
11/18/2020,331.630005,332.140015,327.290009,327.320007,327.320007,2647800,,,,,,
11/19/2020,326.76001,329.089996,325.410004,328.690002,328.690002,2962200,,,,,,
11/20/2020,328.410004,328.660004,326.399994,326.48999,326.48999,3516800,,,,,,
11/23/2020,328.279999,329.600006,326.059998,328.420013,328.420013,2222600,,,,,,
11/24/2020,331.019989,334.25,330.100006,333.73999,333.73999,2659700,,,,,,
11/25/2020,333.670013,333.670013,332.149994,333.190002,333.190002,2256900,,,,,,
11/27/2020,334.290009,334.609985,333.179993,334.140015,334.140015,984700,,,,,,
11/30/2020,333.399994,333.630005,330.040009,332.640015,332.640015,4175700,,,,,,
12/1/2020,335.920013,337.799988,335.320007,336.299988,336.299988,3237100,,,,,,
12/2/2020,335.220001,337.109985,334.649994,337.01001,337.01001,2264200,,,,,,
